t (s),V (mV)
0,8.6012
0.976,8.5836
1.975,8.567
2.976,8.5506
3.976,8.5345
4.976,8.5169
5.976,8.5
6.976,8.4836
7.975,8.4667
8.976,8.45
9.976,8.4334
10.976,8.4161
11.976,8.3996
12.976,8.382
13.976,8.3654
14.975,8.3482
15.975,8.3322
16.975,8.3142
17.976,8.2982
18.976,8.2808
19.976,8.2642
20.976,8.2473
21.976,8.2311
22.976,8.214
23.975,8.1971
24.976,8.1805
25.976,8.1639
26.976,8.1476
27.976,8.1307
28.976,8.1146
29.976,8.099
30.976,8.082
31.976,8.066
32.976,8.0511
33.976,8.0339
34.976,8.0175
35.975,8.0016
36.976,7.9853
37.976,7.9684
