t (s),V (mV)
0,8.5035
0.971,8.485
1.909,8.4702
2.849,8.4547
3.828,8.4375
4.828,8.4206
5.829,8.4018
6.828,8.3849
7.829,8.3667
8.829,8.3491
9.828,8.3318
10.829,8.3138
11.829,8.2957
12.829,8.2783
13.829,8.2606
14.829,8.2426
15.829,8.2252
16.828,8.2075
17.829,8.1892
18.829,8.1718
19.829,8.1542
20.829,8.1364
21.829,8.1183
22.829,8.1007
23.829,8.085
24.829,8.0669
25.829,8.0491
26.829,8.0325
27.828,8.0152
28.829,7.9992
29.829,7.9807
30.829,7.963
31.829,7.9468
32.829,7.9413
33.83,7.9123
34.828,7.8962
35.829,7.8801
36.829,7.8628
37.829,7.8467
38.828,7.8298
39.829,7.8136
40.829,7.7965
41.829,7.7804
42.829,7.7631
43.83,7.7458
44.829,7.7293
45.829,7.7128
46.829,7.6966
47.829,7.6797
48.829,7.663
49.829,7.6467
50.828,7.6315
51.829,7.6147
52.829,7.5984
53.829,7.5823
54.829,7.5656
55.829,7.5492
56.828,7.5336
57.829,7.5171
58.828,7.5015
59.829,7.4847
60.829,7.4683
61.829,7.4524
62.829,7.4374
63.828,7.4207
64.829,7.4048
65.828,7.3901
66.829,7.3732
67.829,7.3593
68.829,7.3414
69.829,7.3267
70.829,7.312
71.829,7.2967
72.829,7.2813
73.829,7.2666
74.829,7.2518
75.828,7.2357
76.828,7.2204
77.829,7.2067
78.829,7.191
79.829,7.1759
80.829,7.1619
81.829,7.1466
82.829,7.1312
83.829,7.1167
84.828,7.1019
85.829,7.0876
86.828,7.0723
87.829,7.0582
88.828,7.0427
89.829,7.0278
90.828,7.0143
91.829,6.9995
92.829,6.9853
93.829,6.971
94.829,6.9563
95.829,6.9421
96.828,6.9274
97.829,6.9137
98.828,6.8982
99.829,6.8834
100.829,6.8689
101.829,6.8542
102.828,6.8392
103.828,6.8255
104.828,6.8109
105.829,6.7962
106.829,6.7823
107.828,6.7681
108.828,6.754
109.829,6.7405
110.829,6.7252
111.828,6.7118
112.829,6.698
113.828,6.6835
114.828,6.6699
115.828,6.6555
116.829,6.6418
117.828,6.6275
118.828,6.6141
119.829,6.5993
120.829,6.5859
121.829,6.5715
122.828,6.5584
123.828,6.5447
124.828,6.5308
125.828,6.5179
126.828,6.5041
127.828,6.4912
128.828,6.4772
129.828,6.464
130.828,6.4504
131.828,6.4374
132.828,6.4243
133.828,6.4115
134.828,6.3986
135.828,6.3847
136.828,6.3717
137.828,6.3602
138.828,6.3472
139.828,6.332
140.828,6.317
141.828,6.3036
142.828,6.2926
143.829,6.2808
144.828,6.268
145.828,6.2542
146.829,6.241
147.828,6.229
148.828,6.2162
149.828,6.203
150.828,6.1897
151.828,6.1783
152.828,6.1645
153.829,6.1529
154.828,6.1394
155.828,6.1278
156.829,6.1158
157.828,6.1027
158.828,6.0896
159.828,6.0776
160.828,6.0656
161.828,6.0535
162.829,6.0409
163.828,6.029
164.828,6.017
165.828,6.0044
166.829,5.993
167.828,5.9809
168.828,5.9683
169.828,5.9567
170.829,5.9446
171.828,5.933
172.829,5.9217
173.828,5.9091
174.828,5.8973
175.828,5.8856
176.828,5.8737
177.828,5.8615
178.828,5.8501
179.828,5.8379
180.828,5.8265
181.828,5.8146
182.828,5.8036
183.828,5.7913
184.828,5.7801
185.828,5.7687
186.828,5.7576
187.829,5.7455
188.829,5.7347
189.828,5.7231
190.828,5.7121
191.828,5.7008
192.828,5.6888
193.828,5.6778
194.828,5.6664
195.828,5.6549
196.828,5.6436
197.828,5.6328
198.828,5.621
199.828,5.6093
200.828,5.5982
201.828,5.5867
202.829,5.5755
203.828,5.5644
204.828,5.5521
205.828,5.5417
206.828,5.53
207.828,5.5196
208.828,5.5085
209.828,5.4982
210.828,5.4864
211.828,5.4753
212.828,5.4645
213.828,5.4533
214.828,5.4426
215.829,5.4314
216.828,5.4212
217.829,5.41
218.828,5.3993
219.828,5.3887
220.828,5.3777
221.828,5.3666
222.828,5.3565
223.829,5.3446
224.828,5.3349
225.828,5.3246
226.828,5.3133
227.828,5.3023
228.828,5.2927
229.828,5.2815
230.828,5.2716
231.829,5.2608
232.828,5.2505
233.828,5.2406
234.829,5.2292
235.828,5.2191
236.828,5.2098
237.829,5.1981
238.828,5.188
239.828,5.1773
240.828,5.1672
241.829,5.1571
242.829,5.1474
243.828,5.1365
244.828,5.1269
245.828,5.1152
246.829,5.1056
247.828,5.095
248.828,5.0849
249.829,5.0746
250.828,5.0645
251.829,5.0549
252.829,5.0449
253.828,5.0343
254.829,5.0244
255.828,5.0144
256.828,5.0045
257.828,4.9935
258.828,4.9842
259.828,4.9737
