  Measurement Number     Measurement type
               14971           CVSweepNew

      Measurement ID             SeriesID
       740024.681363                    0

         MeasureMode                Start                 Stop
                   1                   -1                    1

                Step           Sweep mode            Frequency
                0.05                    3               100000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                  82

     Voltage   Resistance    Reactance      ACLevel    Frequency
-9.9551e-01 2.2103e+05 5.9429e+05 3.4819e-02 1.0000e+05
-9.4397e-01 2.0611e+05 5.9652e+05 3.4820e-02 1.0000e+05
-8.9442e-01 1.9351e+05 5.6668e+05 3.4822e-02 1.0000e+05
-8.4431e-01 1.8298e+05 5.6199e+05 3.4819e-02 1.0000e+05
-7.9453e-01 1.7193e+05 5.4141e+05 3.4819e-02 1.0000e+05
-7.4451e-01 1.5981e+05 5.3383e+05 3.4817e-02 1.0000e+05
-6.9382e-01 1.4988e+05 5.2726e+05 3.4816e-02 1.0000e+05
-6.4731e-01 1.4072e+05 5.0199e+05 3.4814e-02 1.0000e+05
-5.9583e-01 1.3188e+05 5.0392e+05 3.4815e-02 1.0000e+05
-5.4534e-01 1.2357e+05 4.9082e+05 3.4815e-02 1.0000e+05
-4.9527e-01 1.1504e+05 4.9989e+05 3.4814e-02 1.0000e+05
-4.4430e-01 1.0734e+05 4.8234e+05 3.4813e-02 1.0000e+05
-3.9462e-01 9.9858e-06 4.8028e+05 3.4812e-02 1.0000e+05
-3.4258e-01 9.3682e+04 4.7467e+05 3.4811e-02 1.0000e+05
-2.9447e-01 8.6988e+04 4.6590e+05 3.4809e-02 1.0000e+05
-2.4550e-01 8.1073e+04 4.7550e+05 3.4807e-02 1.0000e+05
-1.9509e-01 7.5228e+04 4.8076e+05 3.4806e-02 1.0000e+05
-1.4525e-01 6.9909e+04 4.8897e+05 3.4802e-02 1.0000e+05
-9.5464e-02 6.4600e+04 5.1330e+05 3.4802e-02 1.0000e+05
-4.5584e-02 5.9926e+04 5.4129e+05 3.4799e-02 1.0000e+05
4.1440e-03 5.5456e+04 5.8641e+05 3.4797e-02 1.0000e+05
5.4000e-02 5.1189e+04 6.6351e+05 3.4794e-02 1.0000e+05
1.0330e-01 4.7471e+04 8.0753e+05 3.4792e-02 1.0000e+05
1.5323e-01 4.3686e+04 1.1035e+06 3.4787e-02 1.0000e+05
2.0310e-01 3.6964e+04 3.3786e+06 3.4780e-02 1.0000e+05
2.5401e-01 2.2796e+04 -8.8683e+05 3.4750e-02 1.0000e+05
3.0329e-01 1.0041e-04 -2.1250e+05 3.4652e-02 1.0000e+05
3.5351e-01 4.4905e+03 -9.1922e+04 3.4437e-02 1.0000e+05
4.0211e-01 2.6520e+03 -5.7238e+04 3.4171e-02 1.0000e+05
4.5130e-01 1.9676e+03 -4.5248e+04 3.3949e-02 1.0000e+05
5.0039e-01 1.6667e+03 -4.0211e+04 3.3794e-02 1.0000e+05
5.4906e-01 1.5159e+03 -3.7736e+04 3.3698e-02 1.0000e+05
5.9708e-01 1.4285e+03 -3.6388e+04 3.3629e-02 1.0000e+05
6.4538e-01 1.3730e+03 -3.5457e+04 3.3581e-02 1.0000e+05
6.9365e-01 1.3351e+03 -3.4989e+04 3.3546e-02 1.0000e+05
7.4225e-01 1.3076e+03 -3.4536e+04 3.3521e-02 1.0000e+05
7.9065e-01 1.2868e+03 -3.4355e+04 3.3500e-02 1.0000e+05
8.3817e-01 1.2703e+03 -3.4212e+04 3.3483e-02 1.0000e+05
8.8673e-01 1.2562e+03 -3.3984e+04 3.3469e-02 1.0000e+05
9.3412e-01 1.2444e+03 -3.3802e+04 3.3456e-02 1.0000e+05
9.8336e-01 1.2339e+03 -3.3551e+04 3.3444e-02 1.0000e+05
9.8291e-01 1.2339e+03 -3.3612e+04 3.3444e-02 1.0000e+05
9.3406e-01 1.2445e+03 -3.3759e+04 3.3458e-02 1.0000e+05
8.8598e-01 1.2565e+03 -3.3962e+04 3.3470e-02 1.0000e+05
8.3816e-01 1.2705e+03 -3.4111e+04 3.3485e-02 1.0000e+05
7.8994e-01 1.2871e+03 -3.4369e+04 3.3501e-02 1.0000e+05
7.4196e-01 1.3079e+03 -3.4621e+04 3.3522e-02 1.0000e+05
6.9302e-01 1.3355e+03 -3.4968e+04 3.3547e-02 1.0000e+05
6.4470e-01 1.3734e+03 -3.5411e+04 3.3582e-02 1.0000e+05
5.9665e-01 1.4291e+03 -3.6222e+04 3.3629e-02 1.0000e+05
5.4847e-01 1.5173e+03 -3.7695e+04 3.3697e-02 1.0000e+05
5.0029e-01 1.6700e+03 -4.0155e+04 3.3797e-02 1.0000e+05
4.5066e-01 1.9761e+03 -4.5325e+04 3.3953e-02 1.0000e+05
4.0219e-01 2.6769e+03 -5.7649e+04 3.4178e-02 1.0000e+05
3.5306e-01 4.5684e+03 -9.3237e+04 3.4445e-02 1.0000e+05
3.0339e-01 1.0195e+04 -2.1839e+05 3.4657e-02 1.0000e+05
2.5367e-01 2.3116e+04 -9.3818e+05 3.4754e-02 1.0000e+05
2.0334e-01 3.6787e+04 3.0950e+06 3.4781e-02 1.0000e+05
1.5315e-01 4.3138e+04 1.1013e+06 3.4789e-02 1.0000e+05
1.0358e-01 4.6820e+04 7.9944e+05 3.4791e-02 1.0000e+05
5.3744e-02 5.0431e+04 6.5734e+05 3.4796e-02 1.0000e+05
4.3040e-03 5.4543e+04 5.7854e+05 3.4797e-02 1.0000e+05
-4.5680e-02 5.8997e+04 5.3573e+05 3.4800e-02 1.0000e+05
-9.5312e-02 6.3704e+04 5.0121e+05 3.4801e-02 1.0000e+05
-1.4530e-01 6.8585e+04 4.8481e+05 3.4804e-02 1.0000e+05
-1.9548e-01 7.3908e+04 4.7641e+05 3.4805e-02 1.0000e+05
-2.4575e-01 7.9659e+04 4.6800e+05 3.4805e-02 1.0000e+05
-2.9589e-01 8.5584e+04 4.6731e+05 3.4809e-02 1.0000e+05
-3.4544e-01 9.1803e+04 4.6974e+05 3.4811e-02 1.0000e+05
-3.9576e-01 9.8211e+04 4.6995e+05 3.4810e-02 1.0000e+05
-4.4743e-01 1.0536e+05 4.7795e+05 3.4814e-02 1.0000e+05
-4.9639e-01 1.1309e+05 4.7490e+05 3.4814e-02 1.0000e+05
-5.4522e-01 1.2051e+05 4.8978e+05 3.4814e-02 1.0000e+05
-5.9464e-01 1.2863e+05 4.9025e+05 3.4816e-02 1.0000e+05
-6.4250e-01 1.3808e+05 5.0271e+05 3.4818e-02 1.0000e+05
-6.9326e-01 1.4708e+05 5.1245e+05 3.4817e-02 1.0000e+05
-7.4485e-01 1.5715e+05 5.3547e+05 3.4820e-02 1.0000e+05
-7.9434e-01 1.6702e+05 5.4121e+05 3.4819e-02 1.0000e+05
-8.4430e-01 1.7809e+05 5.5416e+05 3.4820e-02 1.0000e+05
-8.9430e-01 1.8939e+05 5.6216e+05 3.4821e-02 1.0000e+05
-9.4358e-01 2.0016e+05 5.7616e+05 3.4821e-02 1.0000e+05
-9.9495e-01 2.1480e+05 5.9356e+05 3.4821e-02 1.0000e+05




