  Measurement Number     Measurement type
               14976                DC IV

      Measurement ID             SeriesID
       740024.691330                    0

         MeasureMode                Bias1                Bias2
                   1                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 242

        Bias        Current     Resistance
-3.0000e+00   -1.9660e-05   1.5259e+05
-2.9500e+00   -1.9608e-05   1.5045e+05
-2.9000e+00   -1.9558e-05   1.4828e+05
-2.8500e+00   -1.9506e-05   1.4611e+05
-2.8000e+00   -1.9450e-05   1.4396e+05
-2.7500e+00   -1.9398e-05   1.4177e+05
-2.7000e+00   -1.9340e-05   1.3961e+05
-2.6500e+00   -1.9278e-05   1.3746e+05
-2.6000e+00   -1.9216e-05   1.3530e+05
-2.5500e+00   -1.9154e-05   1.3313e+05
-2.5000e+00   -1.9084e-05   1.3100e+05
-2.4500e+00   -1.9016e-05   1.2884e+05
-2.4000e+00   -1.8944e-05   1.2669e+05
-2.3500e+00   -1.8870e-05   1.2454e+05
-2.3000e+00   -1.8790e-05   1.2241e+05
-2.2500e+00   -1.8708e-05   1.2027e+05
-2.2000e+00   -1.8624e-05   1.1813e+05
-2.1500e+00   -1.8532e-05   1.1602e+05
-2.1000e+00   -1.8434e-05   1.1392e+05
-2.0500e+00   -1.8334e-05   1.1181e+05
-2.0000e+00   -1.8226e-05   1.0973e+05
-1.9500e+00   -1.8120e-05   1.0762e+05
-1.9000e+00   -1.8002e-05   1.0554e+05
-1.8500e+00   -1.7882e-05   1.0346e+05
-1.8000e+00   -1.7754e-05   1.0139e+05
-1.7500e+00   -1.7622e-05   9.9308e+04
-1.7000e+00   -1.7480e-05   9.7254e+04
-1.6500e+00   -1.7326e-05   9.5233e+04
-1.6000e+00   -1.7170e-05   9.3186e+04
-1.5500e+00   -1.7000e-05   9.1176e+04
-1.5000e+00   -1.6820e-05   8.9180e+04
-1.4500e+00   -1.6630e-05   8.7192e+04
-1.4000e+00   -1.6430e-05   8.5210e+04
-1.3500e+00   -1.6212e-05   8.3272e+04
-1.3000e+00   -1.5986e-05   8.1321e+04
-1.2500e+00   -1.5746e-05   7.9385e+04
-1.2000e+00   -1.5486e-05   7.7489e+04
-1.1500e+00   -1.5214e-05   7.5588e+04
-1.1000e+00   -1.4920e-05   7.3727e+04
-1.0500e+00   -1.4608e-05   7.1878e+04
-1.0000e+00   -1.4274e-05   7.0057e+04
-9.5000e-01   -1.3916e-05   6.8267e+04
-9.0000e-01   -1.3536e-05   6.6489e+04
-8.5000e-01   -1.3130e-05   6.4737e+04
-8.0000e-01   -1.2698e-05   6.3002e+04
-7.5000e-01   -1.2234e-05   6.1305e+04
-7.0000e-01   -1.1736e-05   5.9646e+04
-6.5000e-01   -1.1202e-05   5.8025e+04
-6.0000e-01   -1.0640e-05   5.6391e+04
-5.5000e-01   -1.0036e-05   5.4803e+04
-5.0000e-01   -9.3899e-06   5.3249e+04
-4.5000e-01   -8.6983e-06   5.1734e+04
-4.0000e-01   -7.9613e-06   5.0243e+04
-3.5000e-01   -7.1762e-06   4.8772e+04
-3.0000e-01   -6.3397e-06   4.7321e+04
-2.5000e-01   -5.4546e-06   4.5833e+04
-2.0000e-01   -4.5239e-06   4.4210e+04
-1.5000e-01   -3.5503e-06   4.2250e+04
-1.0000e-01   -2.5262e-06   3.9585e+04
-5.0000e-02   -1.4097e-06   3.5469e+04
0.0000e+00   -1.6772e-07   -0.0000e+00
5.0000e-02   1.0664e-06   4.6887e+04
1.0000e-01   2.1672e-06   4.6142e+04
1.5000e-01   3.1903e-06   4.7018e+04
2.0000e-01   4.1748e-06   4.7906e+04
2.5000e-01   5.1240e-06   4.8790e+04
3.0000e-01   6.0359e-06   4.9703e+04
3.5000e-01   6.8922e-06   5.0782e+04
4.0000e-01   7.7009e-06   5.1942e+04
4.5000e-01   8.4611e-06   5.3185e+04
5.0000e-01   9.1735e-06   5.4505e+04
5.5000e-01   9.8436e-06   5.5874e+04
6.0000e-01   1.0471e-05   5.7303e+04
6.5000e-01   1.1058e-05   5.8780e+04
7.0000e-01   1.1600e-05   6.0345e+04
7.5000e-01   1.2116e-05   6.1902e+04
8.0000e-01   1.2598e-05   6.3502e+04
8.5000e-01   1.3052e-05   6.5124e+04
9.0000e-01   1.3478e-05   6.6775e+04
9.5000e-01   1.3878e-05   6.8454e+04
1.0000e+00   1.4252e-05   7.0166e+04
1.0500e+00   1.4602e-05   7.1908e+04
1.1000e+00   1.4932e-05   7.3667e+04
1.1500e+00   1.5238e-05   7.5469e+04
1.2000e+00   1.5532e-05   7.7260e+04
1.2500e+00   1.5804e-05   7.9094e+04
1.3000e+00   1.6064e-05   8.0926e+04
1.3500e+00   1.6306e-05   8.2792e+04
1.4000e+00   1.6534e-05   8.4674e+04
1.4500e+00   1.6748e-05   8.6578e+04
1.5000e+00   1.6952e-05   8.8485e+04
1.5500e+00   1.7144e-05   9.0411e+04
1.6000e+00   1.7324e-05   9.2357e+04
1.6500e+00   1.7496e-05   9.4307e+04
1.7000e+00   1.7656e-05   9.6285e+04
1.7500e+00   1.7808e-05   9.8270e+04
1.8000e+00   1.7954e-05   1.0026e+05
1.8500e+00   1.8090e-05   1.0227e+05
1.9000e+00   1.8220e-05   1.0428e+05
1.9500e+00   1.8344e-05   1.0630e+05
2.0000e+00   1.8460e-05   1.0834e+05
2.0500e+00   1.8572e-05   1.1038e+05
2.1000e+00   1.8680e-05   1.1242e+05
2.1500e+00   1.8778e-05   1.1450e+05
2.2000e+00   1.8876e-05   1.1655e+05
2.2500e+00   1.8966e-05   1.1863e+05
2.3000e+00   1.9054e-05   1.2071e+05
2.3500e+00   1.9136e-05   1.2281e+05
2.4000e+00   1.9214e-05   1.2491e+05
2.4500e+00   1.9292e-05   1.2700e+05
2.5000e+00   1.9364e-05   1.2911e+05
2.5500e+00   1.9432e-05   1.3123e+05
2.6000e+00   1.9500e-05   1.3333e+05
2.6500e+00   1.9564e-05   1.3545e+05
2.7000e+00   1.9626e-05   1.3757e+05
2.7500e+00   1.9686e-05   1.3969e+05
2.8000e+00   1.9738e-05   1.4186e+05
2.8500e+00   1.9794e-05   1.4398e+05
2.9000e+00   1.9846e-05   1.4613e+05
2.9500e+00   1.9896e-05   1.4827e+05
3.0000e+00   1.9944e-05   1.5042e+05
3.0000e+00   1.9944e-05   1.5042e+05
2.9500e+00   1.9896e-05   1.4827e+05
2.9000e+00   1.9844e-05   1.4614e+05
2.8500e+00   1.9790e-05   1.4401e+05
2.8000e+00   1.9736e-05   1.4187e+05
2.7500e+00   1.9676e-05   1.3976e+05
2.7000e+00   1.9616e-05   1.3764e+05
2.6500e+00   1.9554e-05   1.3552e+05
2.6000e+00   1.9490e-05   1.3340e+05
2.5500e+00   1.9422e-05   1.3129e+05
2.5000e+00   1.9352e-05   1.2919e+05
2.4500e+00   1.9276e-05   1.2710e+05
2.4000e+00   1.9200e-05   1.2500e+05
2.3500e+00   1.9118e-05   1.2292e+05
2.3000e+00   1.9036e-05   1.2082e+05
2.2500e+00   1.8948e-05   1.1875e+05
2.2000e+00   1.8856e-05   1.1667e+05
2.1500e+00   1.8756e-05   1.1463e+05
2.1000e+00   1.8658e-05   1.1255e+05
2.0500e+00   1.8550e-05   1.1051e+05
2.0000e+00   1.8436e-05   1.0848e+05
1.9500e+00   1.8316e-05   1.0646e+05
1.9000e+00   1.8194e-05   1.0443e+05
1.8500e+00   1.8062e-05   1.0242e+05
1.8000e+00   1.7926e-05   1.0041e+05
1.7500e+00   1.7780e-05   9.8425e+04
1.7000e+00   1.7622e-05   9.6470e+04
1.6500e+00   1.7464e-05   9.4480e+04
1.6000e+00   1.7292e-05   9.2528e+04
1.5500e+00   1.7110e-05   9.0590e+04
1.5000e+00   1.6918e-05   8.8663e+04
1.4500e+00   1.6714e-05   8.6754e+04
1.4000e+00   1.6496e-05   8.4869e+04
1.3500e+00   1.6272e-05   8.2965e+04
1.3000e+00   1.6026e-05   8.1118e+04
1.2500e+00   1.5770e-05   7.9264e+04
1.2000e+00   1.5496e-05   7.7439e+04
1.1500e+00   1.5202e-05   7.5648e+04
1.1000e+00   1.4892e-05   7.3865e+04
1.0500e+00   1.4566e-05   7.2086e+04
1.0000e+00   1.4216e-05   7.0343e+04
9.5000e-01   1.3842e-05   6.8632e+04
9.0000e-01   1.3442e-05   6.6954e+04
8.5000e-01   1.3018e-05   6.5294e+04
8.0000e-01   1.2566e-05   6.3664e+04
7.5000e-01   1.2082e-05   6.2076e+04
7.0000e-01   1.1568e-05   6.0512e+04
6.5000e-01   1.1016e-05   5.9005e+04
6.0000e-01   1.0434e-05   5.7504e+04
5.5000e-01   9.8069e-06   5.6083e+04
5.0000e-01   9.1392e-06   5.4709e+04
4.5000e-01   8.4302e-06   5.3380e+04
4.0000e-01   7.6714e-06   5.2142e+04
3.5000e-01   6.8629e-06   5.0999e+04
3.0000e-01   6.0056e-06   4.9953e+04
2.5000e-01   5.1013e-06   4.9007e+04
2.0000e-01   4.1536e-06   4.8151e+04
1.5000e-01   3.1704e-06   4.7313e+04
1.0000e-01   2.1504e-06   4.6503e+04
5.0000e-02   1.0490e-06   4.7664e+04
0.0000e+00   -1.8494e-07   -0.0000e+00
-5.0000e-02   -1.4309e-06   3.4943e+04
-1.0000e-01   -2.5537e-06   3.9159e+04
-1.5000e-01   -3.5828e-06   4.1867e+04
-2.0000e-01   -4.5614e-06   4.3846e+04
-2.5000e-01   -5.4976e-06   4.5474e+04
-3.0000e-01   -6.3872e-06   4.6969e+04
-3.5000e-01   -7.2271e-06   4.8429e+04
-4.0000e-01   -8.0153e-06   4.9905e+04
-4.5000e-01   -8.7552e-06   5.1398e+04
-5.0000e-01   -9.4490e-06   5.2916e+04
-5.5000e-01   -1.0099e-05   5.4461e+04
-6.0000e-01   -1.0706e-05   5.6041e+04
-6.5000e-01   -1.1275e-05   5.7649e+04
-7.0000e-01   -1.1794e-05   5.9352e+04
-7.5000e-01   -1.2290e-05   6.1025e+04
-8.0000e-01   -1.2756e-05   6.2716e+04
-8.5000e-01   -1.3190e-05   6.4443e+04
-9.0000e-01   -1.3600e-05   6.6176e+04
-9.5000e-01   -1.3980e-05   6.7954e+04
-1.0000e+00   -1.4336e-05   6.9754e+04
-1.0500e+00   -1.4670e-05   7.1575e+04
-1.1000e+00   -1.4982e-05   7.3421e+04
-1.1500e+00   -1.5276e-05   7.5281e+04
-1.2000e+00   -1.5548e-05   7.7180e+04
-1.2500e+00   -1.5808e-05   7.9074e+04
-1.3000e+00   -1.6048e-05   8.1007e+04
-1.3500e+00   -1.6276e-05   8.2944e+04
-1.4000e+00   -1.6488e-05   8.4910e+04
-1.4500e+00   -1.6688e-05   8.6889e+04
-1.5000e+00   -1.6874e-05   8.8894e+04
-1.5500e+00   -1.7052e-05   9.0898e+04
-1.6000e+00   -1.7220e-05   9.2915e+04
-1.6500e+00   -1.7380e-05   9.4937e+04
-1.7000e+00   -1.7526e-05   9.6999e+04
-1.7500e+00   -1.7666e-05   9.9060e+04
-1.8000e+00   -1.7800e-05   1.0112e+05
-1.8500e+00   -1.7924e-05   1.0321e+05
-1.9000e+00   -1.8042e-05   1.0531e+05
-1.9500e+00   -1.8154e-05   1.0741e+05
-2.0000e+00   -1.8262e-05   1.0952e+05
-2.0500e+00   -1.8362e-05   1.1164e+05
-2.1000e+00   -1.8458e-05   1.1377e+05
-2.1500e+00   -1.8552e-05   1.1589e+05
-2.2000e+00   -1.8636e-05   1.1805e+05
-2.2500e+00   -1.8718e-05   1.2021e+05
-2.3000e+00   -1.8798e-05   1.2235e+05
-2.3500e+00   -1.8874e-05   1.2451e+05
-2.4000e+00   -1.8946e-05   1.2668e+05
-2.4500e+00   -1.9010e-05   1.2888e+05
-2.5000e+00   -1.9076e-05   1.3105e+05
-2.5500e+00   -1.9142e-05   1.3321e+05
-2.6000e+00   -1.9200e-05   1.3542e+05
-2.6500e+00   -1.9260e-05   1.3759e+05
-2.7000e+00   -1.9312e-05   1.3981e+05
-2.7500e+00   -1.9368e-05   1.4199e+05
-2.8000e+00   -1.9416e-05   1.4421e+05
-2.8500e+00   -1.9466e-05   1.4641e+05
-2.9000e+00   -1.9512e-05   1.4863e+05
-2.9500e+00   -1.9558e-05   1.5083e+05
-3.0000e+00   -1.9600e-05   1.5306e+05
